date,open,high,low,close
2018-12-23-23:00,6001.7,6104.4,5870,5871.5
2018-12-26-22:00,6259.7,6315.3,6036.7,6291.7
2018-12-27-22:00,6292.2,6385.3,6226.4,6279
2018-12-30-23:00,6327.9,6359.9,6266.4,6335.8
2019-01-01-22:00,6335.3,6392.6,6137.9,6245.4
2019-01-02-22:00,6213.4,6287.8,6131.2,6155.3
2019-01-03-22:00,6158.5,6447.5,6121.2,6417.1
2019-01-06-23:00,6431.9,6522.3,6389.6,6491.7
2019-01-07-22:00,6492.5,6573.2,6454.4,6538.5
2019-01-08-22:00,6539.1,6631,6536.7,6589.8
2019-01-09-22:00,6588.6,6628.2,6514.2,6613.9
2019-01-10-22:00,6606,6619.1,6559.4,6601.1
2019-01-13-23:00,6583.3,6586,6510.1,6535
2019-01-14-22:00,6531.7,6676.2,6528.7,6666.2
2019-01-15-22:00,6667.8,6724.5,6649.5,6659.3
2019-01-16-22:00,6653.8,6747.1,6600.5,6717.4
2019-01-17-22:00,6711.8,6816.1,6699.3,6793.2
2019-01-20-23:00,6779.1,6781.9,6731.3,6751.7
2019-01-21-22:00,6749,6768,6602.2,6642.2
2019-01-22-22:00,6640.8,6714.8,6583.4,6659.6
2019-01-23-22:00,6656.6,6709.6,6643.3,6675.3
2019-01-24-22:00,6674.7,6802.1,6667.3,6786.2
2019-01-27-23:00,6780.9,6781.2,6641.6,6692.1
2019-01-28-22:00,6688.3,6715.2,6611.1,6676
2019-01-29-22:00,6693.1,6837.7,6651.4,6829.8
2019-01-30-22:00,6842.6,6936.4,6832.8,6922.5
2019-01-31-22:00,6894.2,6920.9,6854.1,6870.5
2019-02-03-23:00,6857.3,6974.5,6857.1,6938.3
2019-02-04-22:00,6929.7,7028.5,6921.8,7005.6
2019-02-05-22:00,7005.2,7032.6,6966.4,6981.4
2019-02-06-22:00,6981.3,6987.3,6850.3,6896.1
2019-02-07-22:00,6890.1,6917.4,6832.3,6914.9
2019-02-10-23:00,6920.1,6961.7,6888.5,6902
2019-02-11-22:00,6899.5,7020.5,6895.1,7011.6
