dt,time,aligned_long,aligned_short,close_above_smma,close_below_smma,long_ok,short_ok,consec_long,consec_short,armed_long,armed_long_prev,armed_short,armed_short_prev,touch_long,touch_short,in_entry_window,long_entry_signal,short_entry_signal,
2025-11-11 19:51:00-05:00,19:51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:52:00-05:00,19:52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:53:00-05:00,19:53,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:54:00-05:00,19:54,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
2025-11-11 19:55:00-05:00,19:55,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:56:00-05:00,19:56,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:57:00-05:00,19:57,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:58:00-05:00,19:58,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:59:00-05:00,19:59,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:00:00-05:00,20:00,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:01:00-05:00,20:01,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:02:00-05:00,20:02,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:03:00-05:00,20:03,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:04:00-05:00,20:04,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 20:05:00-05:00,20:05,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
