date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
11/30/23,SHORT,2023-11-30 09:31:00-05:00,16001.107063677664,2023-11-30 09:38:00-05:00,15965.904628137574,16018.70828144771,15965.904628137574,TP,35.20243554008994,2
11/30/23,SHORT,2023-11-30 10:44:00-05:00,15875.557812212204,2023-11-30 11:01:00-05:00,15893.020925805638,15893.020925805638,15840.631585025338,SL,-17.46311359,-1
12/1/23,SHORT,2023-12-01 09:36:00-05:00,15864.342479794164,2023-12-01 09:39:00-05:00,15881.79325652194,15881.79325652194,15829.440926338617,SL,-17.45077673,-1
12/1/23,SHORT,2023-12-01 10:25:00-05:00,15865.564192391566,2023-12-01 10:36:00-05:00,15883.016313003198,15883.016313003198,15830.659951168305,SL,-17.45212061,-1
12/1/23,LONG,2023-12-01 10:56:00-05:00,15878.825278842442,2023-12-01 11:00:00-05:00,15861.358571035715,15861.358571035715,15913.758694455895,SL,-17.46670781,-1
12/4/23,SHORT,2023-12-04 09:47:00-05:00,15810.803987523657,2023-12-04 10:04:00-05:00,15828.195871909935,15828.195871909935,15776.020218751106,SL,-17.39188439,-1
12/4/23,SHORT,2023-12-04 10:20:00-05:00,15781.809982600831,2023-12-04 10:23:00-05:00,15747.09000063911,15799.169973581693,15747.09000063911,TP,34.719981961721714,2
12/5/23,LONG,2023-12-05 09:45:00-05:00,15795.968697483304,2023-12-05 09:55:00-05:00,15830.719828617766,15778.593131916072,15830.719828617766,TP,34.75113113446241,2
12/5/23,LONG,2023-12-05 10:41:00-05:00,15888.140494423058,2023-12-05 10:46:00-05:00,15923.094403510788,15870.663539879193,15923.094403510788,TP,34.95390909,2
12/6/23,SHORT,2023-12-06 09:41:00-05:00,15923.908419128946,2023-12-06 09:52:00-05:00,15941.42471838999,15941.42471838999,15888.875820606863,SL,-17.51629926,-1
12/6/23,SHORT,2023-12-06 10:28:00-05:00,15872.825078501375,2023-12-06 10:31:00-05:00,15890.285186087729,15890.285186087729,15837.904863328673,SL,-17.46010759,-1
12/7/23,LONG,2023-12-07 09:35:00-05:00,15926.644259846968,2023-12-07 09:46:00-05:00,15909.124951161137,15909.124951161137,15961.68287721863,SL,-17.51930869,-1
12/7/23,LONG,2023-12-07 10:18:00-05:00,15943.212115696906,2023-12-07 10:31:00-05:00,15978.28718235144,15925.67458236964,15978.28718235144,TP,35.07506665453366,2
12/8/23,LONG,2023-12-08 09:42:00-05:00,15969.201783035931,2023-12-08 09:44:00-05:00,16004.33402695861,15951.635661074592,16004.33402695861,TP,35.132243922678754,2
12/11/23,LONG,2023-12-11 09:40:00-05:00,16109.468898303507,2023-12-11 09:47:00-05:00,16144.909729879773,16091.748482515373,16144.909729879773,TP,35.440831576266646,2
12/11/23,LONG,2023-12-11 10:54:00-05:00,16178.943934900637,2023-12-11 11:00:00-05:00,16161.147096572247,16161.147096572247,16214.537611557418,SL,-17.79683833,-1
12/12/23,SHORT,2023-12-12 09:31:00-05:00,16214.533865696934,2023-12-12 09:43:00-05:00,16178.861891192402,16232.369852949203,16178.861891192402,TP,35.671974504532045,2
12/12/23,LONG,2023-12-12 10:02:00-05:00,16238.103410863478,2023-12-12 10:59:00-05:00,16273.827238367378,16220.241497111529,16273.827238367378,TP,35.723827503899884,2
12/13/23,SHORT,2023-12-13 09:57:00-05:00,16386.716699845565,2023-12-13 10:10:00-05:00,16404.742088215397,16404.742088215397,16350.665923105906,SL,-18.02538837,-1
12/13/23,LONG,2023-12-13 10:21:00-05:00,16412.26317788192,2023-12-13 11:11:00-05:00,16394.20968838625,16394.20968838625,16448.370156873258,SL,-18.0534895,-1
12/14/23,LONG,2023-12-14 09:49:00-05:00,16641.963520782618,2023-12-14 09:50:00-05:00,16623.657360909758,16623.657360909758,16678.575840528338,SL,-18.30615987,-1
